country,year,bond_excess_return,fx_return,bond_excess_return_usd,term_premium_index_local,term_premium_index_usd
Japan,2011,0.033518096,1.0479927946474525,0.035126723098301595,8.062959449271094,7.629915255950285
Japan,2012,0.03532197,0.8979780473714616,0.03171835364991334,8.347759061049464,7.871923606357385
Japan,2013,0.016193883,0.8219373219373219,0.013310356824786325,8.482941694596288,7.976701718455461
Japan,2014,0.053008119,0.8728448275862069,0.04626786248922413,8.93260647741351,8.345766656682516
Japan,2015,0.017085734999999998,1.001161825726141,0.017105585646473024,9.08522662454588,8.488525883013878
Japan,2016,0.16325272799999999,1.0316780821917808,0.16842426133561642,10.568414655501227,9.918199584688752
Japan,2017,-0.000270498,1.0345438441098316,-0.0002798420407440212,10.565555920473743,9.915424055476466
Japan,2018,0.034038829,1.0186772534512316,0.034674580836416134,10.925195071740687,10.25923722841543
Japan,2019,0.047283456,1.0156708211143695,0.04802442658064516,11.441776052206754,10.751931213464887
Japan,2020,0.004774561,1.0529769371803532,0.005027502618160764,11.496405509916354,10.805986575790866
Netherlands,1871,0.017435601000000002,0.9746116442700768,0.016992939759446997,1.017435601,1.016992939759447
Netherlands,1872,0.043774943999999996,0.9876530550453526,0.04323445717603922,1.0619737874573814,1.0609620774618111
Netherlands,1873,0.016081814,1.019281489030038,0.01639189532022411,1.0790522523801467,1.0783532567742926
Netherlands,1874,0.06669233399999999,0.988424866905682,0.06592036135757928,1.1510167655993357,1.1494386931319764
Netherlands,1875,0.05230655100000001,1.0322583592898429,0.0539938745153705,1.2112224827510125,1.211501341692056
Netherlands,1876,0.014912564,0.9539356491209531,0.014225626419397756,1.229284915543276,1.2287357071855665
Netherlands,1877,0.030202775999999997,0.9337196554818684,0.02820092560131604,1.2664127324876084,1.2633871914475872
Netherlands,1878,-0.004126590000000003,0.9638828476383586,-0.003977549320235977,1.2611867663698524,1.2583620065830499
Netherlands,1879,0.027541285999999998,0.9945278754192776,0.02739057665189469,1.2959214718018597,1.292829267580195
Netherlands,1880,0.02685486,0.9969057039996508,0.026771763114112064,1.3307232614980926,1.3274405864788428
Netherlands,1881,0.023515043999999995,0.9957829680201222,0.02341588030744376,1.3620152775440437,1.3585237763670743
Netherlands,1882,0.008540869,1.0081972429405965,0.00861088057811681,1.373648071605546,1.3702218623679037
Netherlands,1883,-0.024522023000000004,0.9962939578435249,-0.024431143348999953,1.339963441999729,1.3367457756284598
Netherlands,1884,0.026099953999999998,1.0003917997271925,0.026110179954856934,1.3749364261976036,1.3716484483840137
Netherlands,1885,0.027313524999999998,1.0031386011886987,0.027399251262032548,1.4124907866479626,1.4092305888644643
Netherlands,1886,0.10924549,1.0008893522753002,0.10934264772509779,1.5667990347558047,1.5633195927061037
Netherlands,1887,0.009658788000000001,0.9969853020372433,0.009629669671493703,1.5819324144711158,1.5783738439748376
Netherlands,1888,0.046134610000000006,1.001823768909719,0.04621874886738001,1.654914249459099,1.6513243082883517
Netherlands,1889,0.055544522,1.0017471562514106,0.05564156695884392,1.7468356703962933,1.7432065803587447
Netherlands,1890,0.025017468,0.9982936447793379,0.024974779312870454,1.790537075881691,1.786742779999948
Netherlands,1891,-0.021836571,1.001325930222922,-0.021865524769453883,1.751437885896068,1.7476747114872162
Netherlands,1892,0.024479545000000002,1.0011921057310458,0.024508727205887895,1.7943122884385656,1.7905079942356852
Netherlands,1893,0.045833323,0.998219715515242,0.0457517266461782,1.8765515831174397,1.872426826545753
Netherlands,1894,0.091636626,1.0037577545618042,0.09198097394937985,2.0485124387092806,2.0446544697003777
Netherlands,1895,0.06145663600000001,0.99897548843153,0.06139367296545876,2.174407121996509,2.170183317540526
Netherlands,1896,-0.030746721,0.9966726843963348,-0.03064441695545516,2.1075512328760695,2.103679315088041
Netherlands,1897,-0.027602078,1.0010217028784107,-0.027630279122542716,2.049378439357228,2.045554068427839
Netherlands,1898,-0.020737997,0.9972675987732252,-0.02068133247155635,2.006878435429973,2.0032492846501384
Netherlands,1899,-0.033500335,1.0000895468711384,-0.03350333485018134,1.9396473355387929,1.9361337530781186
Netherlands,1900,-0.041391001,1.0014061207609593,-0.041449201745822985,1.8593633907338594,1.8558825545398863
Netherlands,1901,0.031496926,1.002446809952167,0.03157399299199947,1.9179276218589127,1.9144801773109026
Netherlands,1902,0.0032410580000000015,0.9961331117148151,0.0032285251907881968,1.9241437365211596,1.9206611247906156
Netherlands,1903,-0.028650429999999998,1.0014315863835759,-0.028691445565471593,1.8690161910880216,1.8655545806789682
Netherlands,1904,0.011444509000000002,1.0029647067709875,0.01147843861332293,1.890406163708074,1.886968234413095
Netherlands,1905,-0.020165938,0.997374039873771,-0.020112983050903997,1.8522843502159192,1.84901567429675
Netherlands,1906,-0.018927161999999997,0.9954325695097415,-0.018840713503187136,1.8172258642493178,1.8141788997144226
Netherlands,1907,-0.046005427,1.0035290789009998,-0.04616778378175719,1.7336236124090838,1.7304222805309808
Netherlands,1908,0.006904546000000001,1.0021231273677003,0.006919205230574146,1.7455934963876483,1.7423954274255329
Netherlands,1909,0.01098476,1.0006335806704563,0.010991719731605601,1.7647684220030273,1.7615473496254255
Netherlands,1910,-0.012089423000000002,0.9992116393165287,-0.012079892174220948,1.7434333900523902,1.7402680475821657
Netherlands,1911,-0.08177844000000001,0.9989347625128788,-0.08169132654007372,1.6008581271699942,1.5981032422398744
Netherlands,1912,-0.043341136,1.001304738985725,-0.043397684869824815,1.531475117363614,1.528749261343703
Netherlands,1913,-0.024654253999999997,0.9957989969909727,-0.024550681404760674,1.4937177408254518,1.4912174252806905
Netherlands,1914,-0.0017628890000000001,1.0123060677442937,-0.0017845832314596702,1.4910844822510458,1.4885562236690741
Netherlands,1915,-0.08661458899999999,0.9970035633300941,-0.08635505386937156,1.3619348126565938,1.360011870786543
Netherlands,1916,0.085464633,1.0326573280367968,0.08825567955542545,1.4783320715902133,1.4800406426462547
Netherlands,1917,-0.05541601,1.0037775445960126,-0.05562534644910808,1.3964088067276494,1.3977128691402962
Netherlands,1918,-0.052143216,1.1208599924727136,-0.05844524469326308,1.3235955606941472,1.3160231984924688
Netherlands,1919,-0.092151712,0.8321002153063222,-0.07667945939604619,1.2016239637805817,1.2151112510794109
Netherlands,1920,-0.058781236,0.8792248915811935,-0.05168192584910855,1.1309910219823398,1.152311961502707
Netherlands,1921,0.06395835799999999,0.9775908479138627,0.06252510542839838,1.2033273506610722,1.2243603883820684
Netherlands,1922,0.089385603,1.1441330458885126,0.10226902221897137,1.3108874915063047,1.3495745281455425
Netherlands,1923,-0.0003505460000000002,1.0156793743890518,-0.0003560423419745847,1.3104279651397073,1.3490940224698722
Netherlands,1924,0.046022974,0.977226701310611,0.04497487906652402,1.370737757308205,1.4097693629798251
Netherlands,1925,0.108271916,1.0510441767068273,0.11379856681269075,1.5191501606255073,1.5701990960233694
Netherlands,1926,0.025624613999999997,0.9984361842896669,0.025584541826055573,1.558077797099574,1.610371920470814
Netherlands,1927,-0.004324975999999994,1.0002005293976097,-0.004325843284831951,1.5513391480209855,1.6034057039125633
Netherlands,1928,0.024406612,1.0029363259724065,0.024478277768714047,1.589202080687144,1.6426543141088754
Netherlands,1929,-0.036581986999999996,0.9984738342905337,-0.03652615682585646,1.531065910831074,1.582654465021065
Netherlands,1930,0.081806952,1.0015687851971038,0.08193528953531778,1.656317746307268,1.7123297168469294
Netherlands,1931,-0.112809595,1.0001206903487951,-0.11282321002936799,1.4694692121550323,1.51913918156358
Netherlands,1932,0.231376427,1.0016117983640247,0.23174935914651248,1.8094697480499689,1.8711987133452972
Netherlands,1933,-0.008119874,1.2835272821308508,-0.010422079806464958,1.7947770816889914,1.851696931021058
Netherlands,1934,0.11519167,1.3028097837072974,0.15007283467758237,2.001520451006473,2.129586338423168
Netherlands,1935,-0.051790921000000004,1.0049431202600216,-0.05204692975088029,1.8978598634485122,2.0187479078688226
Netherlands,1936,0.099842126,0.9522212908633696,0.0950717981022632,2.0873462270652814,2.2106739013850936
Netherlands,1937,0.03139321,0.8536907579677437,0.02680009323994055,2.1528747255142497,2.269920168065317
Netherlands,1938,0.032367143,0.999339897684141,0.03234577737394796,2.2225571296160553,2.3433425004781925
Netherlands,1939,-0.195984088,0.9695983785801909,-0.19002585395231747,1.7869712975403549,1.8980468407220652
Netherlands,1940,0.088772718,0.996068639430484,0.08842372043680603,1.9456055966109989,2.0658792039420364
Netherlands,1941,0.106553103,1.0012234042553192,0.10668346051962765,2.152915910144067,2.2862743464341064
Netherlands,1942,0.061363113999999996,1.000428571360685,0.06138941247326285,2.285025534570651,2.426627385314389
Netherlands,1943,0.056064901,1.0,0.056064901,2.413135264948827,2.5626760094359295
Netherlands,1944,0.0028156469999999992,1.0,0.0028156469999999992,2.4199298020181743,2.56989160045387
Netherlands,1945,0.087250544,0.7091300494339623,0.0618719825798601,2.631069993686072,2.7288958887892805
Netherlands,1946,0.009766976,0.4076923076923077,0.003981920984615385,2.6567675911687245,2.7397621365936815
Netherlands,1947,0.014611048,1.1111111111111112,0.016234497777777777,2.695585749968135,2.7842407989118514
Netherlands,1948,0.013112439000000002,1.1470588235294117,0.015040738852941177,2.730931453683861,2.826117837671989
Netherlands,1949,0.022887754,1.2289156626506021,0.02812711937349397,2.79343634098664,2.90560839145575
Netherlands,1950,-0.020830271999999997,1.0097323600973236,-0.021032999708029194,2.735248302189204,2.844494731006614
Netherlands,1951,-0.105949079,0.9716312056737588,-0.10294343136879433,2.445451263735944,2.5516726828863376
Netherlands,1952,0.080814544,1.0736040609137056,0.08676282261928935,2.6430792924889883,2.773063007254091
Netherlands,1953,0.05524227699999999,1.031413612565445,0.05697763648691098,2.789089010897629,2.931065583236715
Netherlands,1954,0.020654265999999998,1.0159574468085106,0.020983855351063826,2.8466955972263857,2.9925706394598355
Netherlands,1955,-0.035816905,0.9817232375979111,-0.03516228793733681,2.74473577145661,2.8873450089623285
Netherlands,1956,-0.10505257000000001,1.0000000002610967,-0.10505257002742889,2.4563942246941606,2.5840219952149663
Netherlands,1957,-0.145174835,1.010287523083695,-0.1466683244662341,2.099787598429233,2.205027818792892
Netherlands,1958,0.017313548000000005,1.0042384105971494,0.01738692992531746,2.136142371804442,2.24336648296162
Netherlands,1959,-0.020792918,1.0013262599473014,-0.020820494814330924,2.0917257386311867,2.1966584827364737
Netherlands,1960,0.037272777,1.0,0.037272777,2.1696901656323475,2.278534044508669
Netherlands,1961,0.022238318,1.0472222222353396,0.023288460794736152,2.2179404254971526,2.3315975952736805
Netherlands,1962,-0.024758652,1.0,-0.024758652,2.1630272103455366,2.2738703818082624
Netherlands,1963,-0.070925705,1.0,-0.070925705,2.009612980517596,2.1125945218998923
Netherlands,1964,-0.039321026,1.002227171492825,-0.039408600668175836,1.9305929362607264,2.0293401280125636
Netherlands,1965,-0.10021067,0.9947382996385318,-0.09968339148143802,1.7371269246207717,1.8270486215828956
Netherlands,1966,-0.056930289,0.9991698948531185,-0.05688303087408765,1.63823178677243,1.7231205584329365
Netherlands,1967,-0.019044657,1.0050055617366533,-0.019139986206366887,1.607032224306852,1.6901400547126229
Netherlands,1968,-0.066817546,0.9972268441478722,-0.06663225053128528,1.4996542747357466,1.5775222191540512
Netherlands,1969,-0.10721146799999999,0.9950331125814108,-0.1066789607084623,1.3388741384488518,1.40923378832019
Netherlands,1970,0.051353574,1.007506255214764,0.05173904703263427,1.4076301105943712,1.4821462015740656
Netherlands,1971,0.022725858,1.1040176790473029,0.025089749003518583,1.4396197126042631,1.5193328777580775
